Scheme_name,Category,Category_Equity,Category_Debt,Category_Hybrid,Expense_ratio,Risk_factor,age_in_months,Rating,Net_assets,Return_1wk,Return_1m,Return_3m,Return_6m,Return_1yr,Return_3yr,Return_5yr,Return_10yr,Equity_fund_style_Growth,Equity_fund_style_Value,Equity_fund_style_Blend,Standard Deviation,Sharpe Ratio,Sortino Ratio,NAV_latest,NAV_previous,NAV_52wk_high,NAV_52wk_low,Minimum_Investment,Fund_Manager_Tenure,#_Funds_managed,dbsc_1,agglomerative_1,hierarchy_1,kmeans_1,kmeans_2
Nippon India Arbitrage Fund - Direct Plan,HY-AR,0,0,1,0.21,0,122,4,9234,0.13,0.41,1.79,3.41,5.64,4.91,5.69,6.84,0,0,1,0.69,1.28,1.77,24.075,24.046,24.075,22.806,5000,4.5,6,0,3,3,3,4
Nippon India Balanced Advantage Fund - Direct Plan,HY-DAA,0,0,1,0.74,4,122,3,6594,0.37,-0.51,-2.05,-0.65,5.32,17.04,10.11,12.65,1,0,0,12.91,0.64,0.66,137.131,136.977,142.701,125.49,100,4.9,2,0,3,3,3,4
Nippon India Equity Hybrid Fund - Direct Plan,HY-AH,0,0,1,1.32,5,122,1,2765,0.84,-1.23,-2.84,-0.21,4.17,24.24,5.87,12.26,1,0,0,22.34,0.44,0.4,75.255,75.13,79.74,66.17,500,3.1,2,0,3,3,3,4
Nippon India Equity Savings Fund - Direct Plan,HY-EQ S,0,0,1,0.69,2,94,1,179,0.43,-0.26,-0.16,1.85,3.86,12.17,1.26,0.0,1,0,0,12.63,0.15,0.13,13.629,13.603,13.766,12.788,5000,4.5,2,0,3,3,3,4
Nippon India Hybrid Bond Fund - Direct Plan,HY-CH,0,0,1,1.16,4,122,1,716,0.19,0.04,0.74,2.66,5.12,9.62,3.4,7.18,1,0,0,6.72,0.2,0.14,50.355,50.297,50.383,47.245,5000,3.1,2,0,3,3,3,4
Nippon India Retirement Fund - Income Generation Scheme - Direct Plan,HY-CH,0,0,1,0.85,3,97,2,172,0.19,-0.28,0.07,1.54,4.18,7.74,7.33,0.0,1,0,0,5.27,0.46,0.73,17.769,17.757,17.945,16.147,500,2.7,4,0,3,3,3,4
PGIM India Arbitrage Fund - Direct Plan,HY-AR,0,0,1,0.33,0,103,2,168,0.14,0.41,1.73,3.22,5.28,4.5,5.21,0.0,1,0,0,0.69,0.67,0.83,16.592,16.572,16.592,15.773,5000,7.0,14,0,3,3,3,4
PGIM India Equity Savings Fund - Direct Plan,HY-EQ S,0,0,1,0.42,1,122,3,143,0.38,0.12,0.62,2.37,4.33,12.63,8.04,9.35,1,0,0,7.59,0.67,0.62,45.638,45.58,45.707,43.185,5000,1.8,14,0,3,3,3,4
PGIM India Hybrid Equity Fund - Direct Plan,HY-AH,0,0,1,0.68,5,122,2,217,1.05,-0.35,-0.97,2.09,4.01,20.59,8.95,11.86,1,0,0,17.05,0.57,0.6,106.7,106.29,110.53,92.07,5000,0.9,1,0,3,3,3,4
Quant Absolute Fund - Direct Plan,HY-AH,0,0,1,0.56,5,122,5,1013,0.6,-0.97,-7.05,-7.65,6.92,38.14,19.16,18.57,1,0,0,18.37,1.33,1.56,302.56,302.431,338.579,266.831,5000,3.5,9,0,2,1,1,0
Quant Multi Asset Fund - Direct Plan,HY-MAA,0,0,1,0.56,5,122,5,634,0.71,-1.42,-3.32,-2.06,9.63,42.41,20.4,13.45,1,0,0,23.3,1.11,1.3,87.635,87.864,93.631,73.241,5000,3.7,9,0,2,1,1,0
